문예진,이상민,정수연,정승연,황의린,평균,표준편차,상품명,리뷰,index
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),닦토용도로 삿구여 향은 무향이예용 제형은 그냥 딱 토너예여 또사러 오께영,1843
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),패드 살까 토너 살까 고민하다가 토너로 샀어요. 아직 써보진 않았지만 진정에 좋다고 해서 구매했ㅇㅓ요,1844
3,,2,,,2.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"아누아 사용하다가 다른 제품 써보자 싶어 다른 거 쓰다가 다시 돌아와버렸습니다 향이 있는 제품은 쫌 불편한데 저는 이 제품은 무향이고 자극감 하나 안 느껴졌습니다
 피부가 민감, 예민한 편인데 어성초 스킨은 저한테 딱 맞는 거 같아요 꾸준히 스킨케어하면서 더 좋은 결과 얻고 싶습니다",1845
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),SNS에서 하도 광고가 떠서 쓰던 것도 다 썼겠다 속는셈치고 구매해봤어용! 용기 열고닫는 방식이 뚜껑을 돌려야해서 좀 번거롭긴 하지만 솜에 적셔서 피부정돈을 해주면 싹 흡수되고 촉촉해서 좋았어요! 아직 좁쌀에 대한 효과는 못 봤지만 꾸준히 쓰면 좋아질 것 같아요!,1846
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),아누아 쓰고 좁쌀이 많이 진정돼서 두병 재구매합니다!~!,1847
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"너무 좋아요ㅎㅎㅎ
 아누아는 뜨기전부터 알고있고 쓰던 브랜드였는데 뜨고나서 올영에도 입점하니 쉽게 구할수있어서 좋네용ㅎㅎ
 효과는 말할것도 없습니다!!
 진정에 짱 좋아요!!! 촉촉하고요ㅎㅎ
 몇통째 쓰고있어요:) 이번에 할인기획 하길래 냉큼 샀어요! 여행갈때 쓰기 딱 좋겠네요ㅎㅎ",1848
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"화해리뷰보다가 트러블 진정에 좋다고해서 어성초토너 사봤어요.
 트좋다이 뚫고 올라오지 못하고 안에서 곪는 피부타입인데 오자마자 같이 온 화장솜에 묻혀서 스킨팩 해줬습니다. 
 닦토보다는 스킨팩이 더 좋다고해서 해봤는데 웬걸... 그 담날 뾰루지난곳이 안아프고 쏘옥 까지는 아니여도 많이 진정됐어요!!
 2틀 연속 해주니깐 바로 진정돼서 너무 신기방기!!
 닦토보다는 스킨팩으로 하니 더 좋네용!!
 눈으로보이는 트러블이 아니여서 사진은 못 찍었지만 턱 주변에 만지면 땅땅했던 왕트러블이 말랑해지더니 없어졌어요ㅜ 너무좋음!",1849
3,,3,,,3,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"피부타입: 수부지, 트러블
 토너제형: 워터
 사용 용도: 저녁에 5분동안 스킨팩+닦토
 
 좁쌀여드름 진정에 좋다고 하길래 한번 구매해봤습니당 정말 좁쌀에는 효과가 너무 좋더라구요,, 좁쌀이 고민이신 분들에게는 추천합니다! 다만 화농성여드름 진정에는 효과가 거의 없었어용 ,, 그 점이 조금 아쉬웠고, 진정효과만 기대했었는데 피부결이 너무 좋아지더라구요 ! 의외인 점에 놀라서 만족하면서 잘쓰고 있습니당 가격도 할인받아서 샀더니 부담되지 않고 좋네용",1850
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"유명한것 같아서 구매했어요. 실온에서 몇 번 사용하고 있는데 아직까진 큰 트러블은 없어요, 저에겐 사용후 트러블이 없는게 중요한 구매요소 인데 괜찮네요. 사은품으로 작은병과 화장솜도 잘 쓸께요. 차갑게도 써보려구요.",1851
3,,3,,,3,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),가끔ㅇ 리뷰볼때 오히려 좁쌀이 올라온다는 분들을 봐서 지ㄴ짜 걱정 많이 했는데 다행히 트러블은 안 생기더라구요 근데 쓴지 얼마 안돼서 아직 좋다 이런건 모르겠고 제 피부가 진짜 예민 초촟ㅗ예민 피부라서 걱정했지만 다행히 제 피부에는 괜찮았다는거 이건 진짜 직접 써봐야지만 자기 피부에 맞는지 알 수 있을거 같아요 근데 물토너라서 엄청 촉촉하다? 이런건 잘 모르겠어요,1852
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),배송은 엄청 빠르고요 후기가 평이 좋고 금액도 비싸지 않아서 사봤는데 좋아요 산뜻하니 피부정돈이 잘 되는거같아요 좁쌀에 좋다고 하는데 그건 더 사용해봐야 알것같아요 일단 느낌은 좋습니당,1853
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"흡토용으로 쓰니 자극 없이 순하고 왜 유명한 제품인지 알 것 같아요 ! 가벼운데 날리는 느낌 없어 만족합니다
 같이 온 화장솜도 퀄리티 대박..",1854
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"어성초라인 좋아함
  아비브꺼 다 쓰고 사봤는데 좀 더 써봐야 효과를 알테지만 무난한 게 괜찮은 거 같네요",1855
3,,2,,,2.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"이거 진짜 물건이네요,,, 빨리 사세요...! 고민은 배송을 늦출 뿐입니다....
 저는 극민감+지성+트러블남 개노답 피부지만 이거 사고 정말 많이 진정됐습니다,,,
 세안 후 닥토 한번 해주고 또 피부에 부담될까 봐 3일 정도 스킨팩만 20분 정도 했는데 붉은 기가 많이 가라앉았습니다!!! 추가로 바른 것도 없고요!! 스킨은 이걸로 정착할 것 같습니다:)
 
 +좁쌀에도 효과 좋은 것 같아요~!",1856
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"부산 여행중 마침 토나가 다 떨어져 인터넷 서핑중 올리브영에서 행사를 딱 하길래 바로 겟 했어요! 평소에 ㅋ스는 제품인데 여행용 미니미도 옵션으로 주는 부분이라 아주 좋아서 구매했쥬 ㅎ 생각보다 빨리왔고 부산여행에서 딱 집으로 복귀하니깐 딱 와있도라구요 ! 아프로도 토너는 이것만 쓸꺼고, 다쓰면 올리브영에서 구매하도록 하겠습니다. 그러니까 행사도 이벤트도 많이많이 해주세용",1857
3,,2,,,2.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),여드름이 턱부분에만 나는데 점점 잠재워지는 것이 느껴집니다. 가격대가 있는편이라 할인가를 기다렸는데 잘산거 같아요. 다른 진정 토너는 건조함이 느껴진다면 이토너는 그런 부분에서 만족합니다! 복합성 피부에 좋아요,1858
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"역시 믿고 보는 토너입니다!!
 다들 좋다고 하는데에는 다 이유가 있네요!!
 처음에 사용할 때는 그냥 토너네 하며 사용했는데 꾸준히 쓰니까 확실히 달라지네요
 토너를 솜에 묻혀서 팩처럼 하는거 추천해 드려요!",1859
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),이 전에는 싸이* 토너를 썼었는데 그건 정말 물같은 느낌이었다면 이것도 물 제형이긴 하지만 닦토를 하면 좀 더 부드러운 느낌이에요. 스킨팩용 솜과 작은 샘플이 있어서 좋습니다.,1860
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"진정에 좋다고 해서 사봣어요 
 스킨팩 사용중입니다! 
 아직 몇일 사용하지않아서 효과는 잘 모르지만 
 특별히 트러블ㅇ 나거나 하지는 않는거갘아여",1861
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"벌써 3통째 쓰고 있는 아누아 어성초 토너! 
 처음쓰고 여드름 가라 앉고 잡티들도 가라 앉아서 그 이후에 완전 정착하고 잘 쓰고 있습니다😆",1862
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),여름에 마스크를 쓰니까 피부가 아주 난리가 났어서 속는 셈치고 구입했는데 저는 너무너무 만족합니다!!! 사길 너무 잘했어요. 진작 구매할 껄 그랬어요!! 진정도 바로 되고 수분감도 나름 좋은 것 같아요!! 또 구매할거예요,1863
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),아직 몇번 안써봐서 변화는 잘 모르겠지만 썼을 때 느낌은 물 제형이여서 끈적임도 없고 무거운 느낌도 들지 않아서 좋았어요! 스킨팩 하니까 좋더라고요!,1864
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),아직 많이 사용은 안해봤지만 진정에 좋다고해서 구매했습니다!!또 스킨팩할정도로 대용량이라는점이 너무 좋아요 ㅎㅎㅎㅎ 같이온 화장솜으로 스킨팩도 자주 하려구요 !!,1865
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"건조할때 스킨팩하면 좋아요
 좁쌀은 완전히 사라지는건 아닌데 가라앉아요",1866
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),대용량에 할인할 때 기다렸다가 구매했습니다. 딱히 효과는 모르겠지만 잘 쓰려고 노력하는 중!,1867
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),배송이 좀 늦었어요 그래도 순하고좋아요 항상 쓰는 제품이에요,1868
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"화장솜에 적셔 피부에 올려두면 금방 진정이 되는 것 같습니다
 아누아 어성초",1869
2,,3,,,2.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),거의 물같은 제형이고 향은 없고 자극도 없어서 좋아요 민감성피부인데 뭐 올라오지도 않았고 피부가 좀 좋아졌습니다 ! 남사친한테도 선물했는데 괜찮다고 하네요! 이 토너도 좋고 패드도 좋으니 한번씩 써보세요!,1870
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),정말 정말 순하고 닥토나 토너팩하기 좋아요 토너팩 하면 피부가 맨들맨들 해진 느낌이 나요 좁쌀이 사라지는 않았지만 서서히 좋아지는거ㅅ 같아요,1871
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),어성초 토너가 좁쌀 여드름에 좋다고 해서 구매해봤는데 화장솜이랑 같이 추가 ml도 증정해줘서 잘산거 같습니다 꾸준히 사용해봐야 겠습니다,1872
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"동생꺼 몰래쓰다가 너무 좋아서 세일기간기다리다가 힘들어서 생일때 받음 쿠폰잇어서 그걸로 결지 했어요 ㅋㅋ
 솜만 따로사서 닦는 토너로 사용하고 잇어요 
 세수하고 나서 얼굴 정리하려구요 
 작은거 써보고 세일기간에 큰거 쟁여두겟어요ㅋㅋ",1873
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),여드름이 나기 시작하는 초등 딸래미가 잘 쓰고 있어요. 처음에는 효과가 있나 싶었는데 꾸준히 쓰니 확실히 피부가 깨끗해졌어요. 벌써 세번째 쓰고 있어요.,1874
1,,2,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),오!!! 아이돌님이 추천하셨다고 유명해서 구매했는데 정말절말 좋네요 ㅠㅠㅠㅠ 트러블도 가라앉규 정말 추천합니다,1875
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),아누아를 쓰고 나서 부터는 이 제품만 쓰게 됩니다!! 로션도 그렇고 토너도 그렇고 자극도 하나 없이 너무 잘 쓰고 있습니다 좁쌀 여드름도 많이 없어진 느낌입니다,1876
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),스킨팩과 찹토로 사용 하고 있어요 스킨팩할때 저만의 꿀팁은 평소 사용 하는 앰플을 먼저 도포 후 그위에 올려주는 거에요 꼭 앰플이 아니여도 괜찮아요 토너를 찹토로 피부에 먹여준후 사용 해도 좋아요 팩을 할때는 피부가 촉촉하게 한후 팩을 해줘야 좋다는거 아신가요? 피부가 촉촉하면 팩의 유효 성분이 더욱 쉽게 피부속에 들어갈 수 있다니 참고 하시길~^^,1877
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),피부 하나는 진짜 깨끗한 편이었는데 이마에 갑자기 좁쌀여드름이 생기기 시작해서 자꾸 신경쓰여서 손데니까 점점 번져가더라구요 ㅠㅠ 넘나 속상.. 클렌징폼이랑 스킨로션 다 바꿔야할거같아서 폭풍 검색 끝에 아누아로 선택..! 아직 사용한지 일주일 밖에 안되서 다시 꿀피부를 찾기 위해 꾸준히 사용해봐야겠어요,1878
2,,3,,,2.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"아누아는 다들 말 안해도 아시죠?;; 
 전 진짜 이거 광고가 너무 많이 떠서 걍..광고템인다보다 했는데 ㅋ.. 핵 좋아요 진정도 잘되고 그냥 좋아요 더 할 말이 없습니다ㅠ 지성이신분 건성이싱분 다 쓸 수 있는 템 스킨팩으로 써도 좋고 그냥 바르기만 해도 좋아요ㅠ 제발 다 사세요ㅠ",1879
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"만족합니다
 물같은 제형이고 좋네요.!
 마음에듭니당~!",1880
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),매장에서 구매했다가 좋아서 또 주문해요 진정팩으로 좋고 잘 쓰고 있어요,1881
3,,2,,,2.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"여드름. 뾰루지가 잘나는편인데, 순하고 가벼워서 잘쓰고있어요! 두통째 쓰고있는데 기초로 쓰기 딱 좋은것같아요. 향도 무향이라서 다른 제품들이랑 향이 썩이지 않아서 좋아요. 이번에 기획세트로 사서 여행용 사이즈가 같이 들어있는데, 휴가갈때 유용하게 쓸것같네요 ㅎㅎ",1882
3,,3,,,3,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),좁쌀여드름 제품으로 유명해서 예전에 한통 샀을 때 이 제품 쓰고나서 좁쌀이 더 나는 것 같아서 쓰다 안 쓰가 했었는데 하도 페북이나 유튜브광고가 뜨길래 다시 한번 사봤는데 진정효과는 잘 모르겠고 다음 날 울긋불긋하고 예민해진 것 같아요... 저한테는 효과가 있는 것 같지는 않아요 아무래도 케바케인 것 같아요,1883
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),너무 좋아요 그냥 좋아요 왜 유명한지 알거같네용 여기에 정착할거같아요,1884
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),솜이랑 같이 들어잇어서 진짜 좋네요!!! 피부에 맞았으면 해요ㅠ,1885
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"진정, 쿨링 둘 다 너무 좋아요
 피부가 진정되고 시원해지는게 느껴져요
 스킨팩하기도 좋아요",1886
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),아누아 잘쓰고 있는데 이렇게 할인해서 하나 더 쟁여둡니다!!!!,1887
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),진짜 좋아여 꾸준히 잘 쓰고있어요!!순하고 진정효과 짱짱,1888
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"여드름진정에 좋다그래서 구매했습니다~~~
 세일해서 저렴하게구매했어요",1889
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"트러블 계속나서
 바꿔봤습니다
 깔끔한 느낌이네요
 좋습니다",1890
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"초등6아들 여드름때문에 사서 쓰게 되었어요.
 붙힌후엔 진정이되서 그런가 좀 들어간거처럼 보이는데 아침에보면 다시 여드름이…그래도 안 쓰는ㄱㅓ보단 나을거 같아서 벌써 3통째 재주문하고 있어요..
 좋아질 날이 오겠죠 뭐~~~~~",1891
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"순하고 좋아요!! 
 용량도 많고 화장솜으로 팩도 하면 거 잘 사용할 것 같아요~~",1892
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),한 번 사용해봤는데 별 문제 없이 (자극 없이 순해서) 다 써가서 세일하길래 바로 샀어요!,1893
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),한통다써서 재구매하나는데 행사해서 얼른샀어요 자극없이 산뜻하고 좋아요!,1894
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),좁쌀여드름이 많이 없어져서 가장 만족하고 있어요. 그리고 피부도 정말 많이좋아져서 다시 구매했습니다,1895
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),수부지고 좁쌀 여드름이 많이 나는데 이거 쓰고 많이 좋아졌어요 40ml 증정품 주셔서 좋네요,1896
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),배송온 후로 써보고있는데 흡수잘되고 가벼워서 씻고나와서 바르기 좋더라구요! 향은 딱히 없는거같아요,1897
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),화장솜까지 포함되어 잇어서 넘넘좋아요 순한느낌이에요~~,1898
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),아직 며칠 안써봐서 잘 모르겠지만 좁쌀에 좋다규 해서 사ㅗ밨어용,1899
1,,2,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),딸아이가 원래 쓰던 제품인데 끈적임이 없고 진정효과가 좋네요~,1900
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),자극없이 순해서 사용할때 정말 좋아요 아침에 많이 사용해요,1901
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"처음써봅니다 피부가 굉장히예민해서 아무거나 못쓰는대
 진짜 스킨만써도 진정이되는느낌이들어 아주 만족합니다",1902
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),가볍고 촉촉해서 좋아요 여름에 복합성피부가 사용하기 좋아요,1903
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"두통째 사용중ㅇㅇ
 무난하게 쓰기 좋아요 무향 무자극이라 예민하신분들에게 좋아요",1904
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),좋은거 같아요 아직 오래쓰지는 않았지만 진정시켜주는거 같아요 괜찮아요,1905
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),좋아요. 샘플이랑 화장솜이 같이 있네요. 화장솜 부드러워서 좋아오,1906
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),좁쌀여드름에 좋다길래 써봤는데 막 엄청 좋다까지는 아니지만 새로나는 여드름은 감소하는 것 같아요,1907
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),너무 순하고 좋네요 바르고나면 피부가 부드러워지구 촉촉?한지는 아직은 잘 모르겠구 구매는 잘 한 것 같습다,1908
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),자극없이 순하고 스킨팩하니까 좁쌀이랑 트러블 진정되네요,1909
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),같이 주는 솜으로 팩하니까 좋았어요! 처음 써봤는데 좋아서 앞으로도 계속 잘 쓸거 같아요,1910
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),이거 진짜 좋아요 ㅋㅋ 너무 순한거같은데도 진정이 잘되고 좁쌀많이 가라앉앟어요,1911
2,,2,,,2,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),보습감이 좋은건 아니지만 무난하게 쓰기 좋은것 같아요 사용후 트러블이 난다거나 하지 않았습니다,1912
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),3일째 쓰고 있는데 아직까지 큰 자극은 없고 순하고 좋아용 !!,1913
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),항상 쓰는거라 쟁여놉니다 ~ㅋㅋ 좋아요 사은품도줘서 더좋음,1914
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"자극없이 순하고 진정에 효과적이에요!
 닦토로도 토너팩으로도 잘 사용하고 있어요 ㅎㅎ",1915
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),팩용으로 사용하고 있어요 너뮤 많은 시간 올려놓으면 오히려 더 건조할 수 있으니 피부타입에 따라 조절 잘 하셔야 해요~,1916
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),같이 배송 오는 화장솜도 너무 좋고 산뜻하고 촉촉한 느낌이에요 용량도 많아서 오래 쓸 것 같아요,1917
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),순하고 제품 구성 좋아서 만족합니다. 양도 넉넉한 것 같아요,1918
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),좁쌀에 어성초가 좋다고 해서 구매해서 사용해봤는데 저는 크게 좁쌀 진정에는 효과보지는 못했습니다,1919
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),기분탓인지 몰라도 좁쌀이 많이 진정되는 느낌이에요! 이제껏 쓴 기초 중엔 거의 탑인것같아요 만족만족!,1920
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"잘 받았어요
 인터넷에서 좋다구해서 써보려고 주문했어요^^
 순해보이고 좋네요",1921
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),너무순하고 향도 좋아요 앞으로 스킨은 이걸로 정착할듯합니다!!,1922
1,,2,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),볼쪽에 여드름이 많이 올라와서 걱정이었는데 세안하고 솜에적셔서 토너팩하니까 많이 진정됐습니다. 만족합니다.,1923
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),아직 안써봤지만 저레게 잘맞았으면 좋겠네요%~~ 기대가돼요,1924
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"가볍게 사용하기 좋고 사용하면 산뜻한거 같아요
 트러블 올라올 때 좋아요",1925
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"포장은 박스가 열어져서 와서 기분이 좀 그랬지만
 그래도 망가지지 않고 와서 만족합니다.",1926
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),기획으로 사서 너무 좋아요 유명하길래 써보고싶었는데 큰 장점은 모르겠고 굉장히 순한 상품같아요,1927
1,,1,,,1,0,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),하도하도 입소문이 좋길래 얼마나 좋으면 그렇지 하고 속는 셈 치고 사용해봤는데 진짜 너어무 좋나요 정착할 예정입니다!,1928
2,,1,,,1.5,0.7071067812,아누아 어성초 77 수딩토너 기획세트 (350ml+40ml+화장솜60매),"아직 일주일도 안ㅆㅓ봐서 모르겠지만 , 아침에 스킨퍅 후 화장을 해주고 있는데 진정도 되고 속까지 촉촉하게 채워줘서 너무 좋더라구용",1929
